Arrival Delay (Minutes),destinationstate_0,destinationstate_1,destinationstate_2,destinationlatitude,destinationlongitude,originstate_0,originstate_1,originstate_2,originstate_3,originstate_4,originstate_5,originstate_6,originlatitude,originlongitude,Month,Day,Scheduled Arrival Hour,Scheduled Arrival Minute,Weekdaynum,xs,ys,Month_sin,Month_cos,Day_sin,Day_cos,Weekdaynum_sin,Weekdaynum_cos,HS_Dist,Delayed?,Carrier Code_AA,Carrier Code_DL,Carrier Code_OO,Carrier Code_UA,Carrier Code_WN,Destination Airport_ATL,Destination Airport_DFW,Destination Airport_LAX,Destination Airport_ORD
-13,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,3,16,14,2,-0.894934362,-0.446197813,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
13,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,3,21,41,2,-0.569996763,0.821646938,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,1,1,0,0,0,0,1,0,0,0
-14,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,3,23,59,2,-0.004363309,0.999990481,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,33.64044,-84.42694,0,0,0,0,1,0,0,25.79325,-80.29056,1,3,23,45,2,-0.065403129,0.997858923,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-27,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,0,41.9796,-87.90446,1,3,22,2,2,-0.49242356,0.870355696,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-14,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,4,10,57,3,0.27144045,-0.962455236,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
-20,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,4,19,48,3,-0.891006524,0.4539905,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
-15,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,1,33.43417,-112.00806,1,4,18,48,3,-0.978147601,0.207911691,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
8,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,4,17,29,3,-0.990865897,-0.13485093,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,1,1,0,0,0,0,1,0,0,0
-17,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,4,21,49,3,-0.540974471,0.841039013,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
